fecha,inflacion_mensual,tipo_cambio,expectativas_inflacion
2003-02-01,0.4688248389247418,3.48395,2.40833333333333
2003-03-01,1.1177801326511139,3.47915952380952,2.5375
2003-04-01,-0.05085694528311757,3.464625,2.63333333333333
2003-05-01,-0.03202510892001964,3.48114761904762,2.55
2003-06-01,-0.473129433766295,3.4787619047619,2.45
2003-07-01,-0.1492170881798427,3.47140476190476,2.39583333333333
2003-08-01,0.013455964573205748,3.4802619047619,2.13333333333333
2003-09-01,0.5585983199299038,3.48086363636364,2.0125
2003-10-01,0.049032117409208986,3.47820454545454,2.05833333333333
2003-11-01,0.1676845004562777,3.47775,2.025
2003-12-01,0.5639507887325479,3.47128571428571,2.0
2004-01-01,0.5374474410999142,3.46716666666667,2.40833333333333
2004-02-01,1.0860849483644408,3.4835,2.45833333333333
2004-03-01,0.4604485354332555,3.4650847826087,2.575
2004-04-01,-0.022770075141786972,3.46965,2.63333333333333
2004-05-01,0.3538447171426151,3.4872380952381,2.61666666666667
2004-06-01,0.5638070281414276,3.47716666666667,2.7
2004-07-01,0.1931086123667436,3.4413,2.89166666666667
2004-08-01,-0.009540637931504392,3.39545238095238,2.98333333333333
2004-09-01,0.016689712460693507,3.35759090909091,2.75
2004-10-01,-0.023747088911252323,3.321025,2.8
2004-11-01,0.2870081492655663,3.31016666666667,2.5875
2004-12-01,-0.009355420206003107,3.28106818181818,2.5
2005-01-01,0.10014950476127105,3.26821428571429,2.5
2005-02-01,-0.23462035152059801,3.258825,2.53333333333333
2005-03-01,0.6501961534074452,3.25930952380952,2.5
2005-04-01,0.11882370202553894,3.25795,2.5
2005-05-01,0.12633045900574125,3.25488095238095,2.52083333333333
2005-06-01,0.26374222707123973,3.25276190476191,2.475
2005-07-01,0.10461129309120576,3.25205263157895,2.45833333333333
2005-08-01,-0.17960572361210847,3.25734090909091,2.45
2005-09-01,-0.09427856050128192,3.30752272727273,2.375
2005-10-01,0.14478047363162272,3.38078571428571,2.33333333333333
2005-11-01,0.06804470246257743,3.37607142857143,2.41666666666667
2005-12-01,0.419225034299342,3.42428571428571,2.5
2006-01-01,0.49960884602813227,3.39329545454545,2.5
2006-02-01,0.5482777042160603,3.288725,2.5
2006-03-01,0.4571626311416166,3.33932608695652,2.5
2006-04-01,0.5100071907460313,3.33152777777778,2.5
2006-05-01,-0.5279518461002386,3.27904090909091,2.61666666666667
2006-06-01,-0.13253723758611669,3.26406428571429,2.55
2006-07-01,-0.1704403563635215,3.2431,2.52083333333333
2006-08-01,0.13934667530606237,3.23438636363636,2.45
2006-09-01,0.027368122249815663,3.24773809523809,2.4
2006-10-01,0.043789419587558776,3.23745454545455,2.425
2006-11-01,-0.28215516594505274,3.22209523809524,2.31666666666667
2006-12-01,0.02581176611089475,3.20531578947368,2.15
2007-01-01,0.009427870656941728,3.1925,1.9625
2007-02-01,0.2594672996100833,3.1903,1.91666666666667
2007-03-01,0.34883547033299767,3.18561363636364,1.85
2007-04-01,0.178206800195313,3.17828947368421,1.9
2007-05-01,0.4918716298799808,3.16752272727273,1.94166666666667
2007-06-01,0.4696920623178391,3.1702,1.975
2007-07-01,0.4755452298130791,3.16090909090909,2.05833333333333
2007-08-01,0.1369076380472345,3.15818181818182,2.26666666666667
2007-09-01,0.6125006243834941,3.135975,2.225
2007-10-01,0.31401466940323974,3.01986363636364,2.44166666666667
2007-11-01,0.11100716674787847,3.001,2.7125
2007-12-01,0.4531049376243601,2.980775,2.85
2008-01-01,0.22204623763744102,2.95031818181818,3.2625
2008-02-01,0.9070182567106899,2.9055,3.64166666666667
2008-03-01,1.0418506618059098,2.81092105263158,3.775
2008-04-01,0.1542201326107273,2.74786363636364,4.16666666666667
2008-05-01,0.36949117995423997,2.80457894736842,3.83333333333333
2008-06-01,0.7696023944328445,2.89161904761905,3.85
2008-07-01,0.5554719189823532,2.84842857142857,4.32916666666667
2008-08-01,0.5904851206278039,2.89230952380952,4.65
2008-09-01,0.5672013481702987,2.96584090909091,4.575
2008-10-01,0.6131287306313293,3.07515909090909,4.33333333333333
2008-11-01,0.30902351880721657,3.09188888888889,4.10416666666667
2008-12-01,0.3602234436993035,3.113775,3.75
2009-01-01,0.10577908754918486,3.151125,3.50416666666667
2009-02-01,-0.07478670119779318,3.236125,3.16666666666667
2009-03-01,0.3602190962933127,3.17477272727273,2.9625
2009-04-01,0.019011338763808006,3.085025,2.85
2009-05-01,-0.04300598790712984,2.99405,2.8
2009-06-01,-0.3395763976355215,2.99047619047619,2.35
2009-07-01,0.18668828324688302,3.0125,2.27083333333333
2009-08-01,-0.20740408034690683,2.95054761904762,2.2
2009-09-01,-0.08718651783548026,2.90965909090909,1.825
2009-10-01,0.12262605571473628,2.871775,1.88333333333333
2009-11-01,-0.1120675116568326,2.8845,1.97083333333333
2009-12-01,0.31710655351808725,2.87747368421053,2.1
2010-01-01,0.29591635884318457,2.85645,2.13333333333333
2010-02-01,0.3225080878761277,2.853975,2.20833333333333
2010-03-01,0.2808120982471518,2.83928260869565,2.275
2010-04-01,0.025357434337291984,2.83985,2.5
2010-05-01,0.23785979984096706,2.8455,2.5
2010-06-01,0.25084872902545463,2.83805,2.5
2010-07-01,0.3639553876795043,2.82281578947368,2.52083333333333
2010-08-01,0.26851534030176705,2.80202380952381,2.56666666666667
