fecha,inflacion_mensual,tipo_cambio,expectativas_inflacion,inflacion_lag3,tc_lag3,inflacion_lag4,tc_lag4,inflacion_lag5,tc_lag5,inflacion_lag6,tc_lag6,inflacion_lag12,tc_lag12,expect_lag3,expect_lag4,expect_lag5,expect_lag6,expect_lag12,inflacion_ma12,mes
2004-04-01,-0.0227700751417869,3.46965,2.63333333333333,0.5374474410999142,3.46716666666667,0.5639507887325479,3.47128571428571,0.1676845004562777,3.47775,0.0490321174092089,3.47820454545454,-0.0508569452831175,3.464625,2.40833333333333,2.0,2.025,2.05833333333333,2.63333333333333,0.23096212730230326,4
2004-05-01,0.3538447171426151,3.4872380952381,2.61666666666667,1.0860849483644408,3.4835,0.5374474410999142,3.46716666666667,0.5639507887325479,3.47128571428571,0.1676845004562777,3.47775,-0.0320251089200196,3.48114761904762,2.45833333333333,2.40833333333333,2.0,2.025,2.55,0.2824004697556115,5
2004-06-01,0.5638070281414276,3.47716666666667,2.7,0.4604485354332555,3.4650847826087,1.0860849483644408,3.4835,0.5374474410999142,3.46716666666667,0.5639507887325479,3.47128571428571,-0.473129433766295,3.4787619047619,2.575,2.45833333333333,2.40833333333333,2.0,2.45,0.2276228366541233,6
2004-07-01,0.1931086123667436,3.4413,2.89166666666667,-0.0227700751417869,3.46965,0.4604485354332555,3.4650847826087,1.0860849483644408,3.4835,0.5374474410999142,3.46716666666667,-0.1492170881798427,3.47140476190476,2.63333333333333,2.575,2.45833333333333,2.40833333333333,2.39583333333333,0.22996340916590086,7
2004-08-01,-0.0095406379315043,3.39545238095238,2.98333333333333,0.3538447171426151,3.4872380952381,-0.0227700751417869,3.46965,0.4604485354332555,3.4650847826087,1.0860849483644408,3.4835,0.0134559645732057,3.4802619047619,2.61666666666667,2.63333333333333,2.575,2.45833333333333,2.13333333333333,0.26211922800445375,8
2004-09-01,0.0166897124606935,3.35759090909091,2.75,0.5638070281414276,3.47716666666667,0.3538447171426151,3.4872380952381,-0.0227700751417869,3.46965,0.4604485354332555,3.4650847826087,0.5585983199299038,3.48086363636364,2.7,2.61666666666667,2.63333333333333,2.575,2.0125,0.3485305998300973,9
2004-10-01,-0.0237470889112523,3.321025,2.8,0.1931086123667436,3.4413,0.5638070281414276,3.47716666666667,0.3538447171426151,3.4872380952381,-0.0227700751417869,3.46965,0.0490321174092089,3.47820454545454,2.89166666666667,2.7,2.61666666666667,2.63333333333333,2.05833333333333,0.37705774154231286,10
2004-11-01,0.2870081492655663,3.31016666666667,2.5875,-0.0095406379315043,3.39545238095238,0.1931086123667436,3.4413,0.5638070281414276,3.47716666666667,0.3538447171426151,3.4872380952381,0.1676845004562777,3.47775,2.98333333333333,2.89166666666667,2.7,2.61666666666667,2.025,0.37514135800025367,11
2004-12-01,-0.0093554202060031,3.28106818181818,2.5,0.0166897124606935,3.35759090909091,-0.0095406379315043,3.39545238095238,0.1931086123667436,3.4413,0.5638070281414276,3.47716666666667,0.5639507887325479,3.47128571428571,2.75,2.98333333333333,2.89166666666667,2.7,2.0,0.3299823073778195,12
2005-01-01,0.100149504761271,3.26821428571429,2.5,-0.0237470889112523,3.321025,0.0166897124606935,3.35759090909091,-0.0095406379315043,3.39545238095238,0.1931086123667436,3.4413,0.5374474410999142,3.46716666666667,2.8,2.75,2.98333333333333,2.89166666666667,2.40833333333333,0.323917373517781,1
