fecha,real,naive,media_movil_12,expectativas,ridge
2009-04-01,0.019011338763808,0.1057790875491848,0.5286246494984917,0.2920138888888892,-0.14695693959435743
2009-05-01,-0.0430059879071298,-0.0747867011977931,0.4468075696727849,0.2638888888888892,0.018129121204139648
2009-06-01,-0.3395763976355215,0.3602190962933127,0.3900049392134018,0.24687499999999998,-0.18377193277768653
2009-07-01,0.186688283246883,0.019011338763808,0.37873753972615853,0.23750000000000002,-0.3790279694402057
2009-08-01,-0.2074040803469068,-0.0430059879071298,0.344362775737711,0.2333333333333333,-0.23256603434486195
2009-09-01,-0.0871865178354802,-0.3395763976355215,0.2519312097320138,0.19583333333333333,-0.03743819121602293
2009-10-01,0.1226260557147362,0.186688283246883,0.22119924008739134,0.18923611111111083,-0.08747741407259516
2009-11-01,-0.1120675116568326,-0.2074040803469068,0.15470847333949878,0.18333333333333335,0.12787649187214845
2009-12-01,0.3171065535180872,-0.0871865178354802,0.10017615117235056,0.15208333333333332,0.09507578869765275
2010-01-01,0.2959163588431845,0.1226260557147362,0.05930092826263444,0.15694444444444416,0.4269221605992085
2010-02-01,0.3225080878761277,-0.1120675116568326,0.024210009057297015,0.16423611111111083,0.5555540074035524
2010-03-01,0.2808120982471518,0.3171065535180872,0.020616934875528993,0.17500000000000002,0.5635800499686898
2010-04-01,0.0253574343372919,0.2959163588431845,0.03646170748336231,0.1777777777777775,0.6024016854483709
2010-05-01,0.237859799840967,0.3225080878761277,0.0695696065728557,0.18402777777777748,0.5295988737319732
2010-06-01,0.2508487290254546,0.2808120982471518,0.06295235673567563,0.18958333333333333,0.568683161422065
2010-07-01,0.3639553876795043,0.0253574343372919,0.06348119803346595,0.20833333333333334,0.49020877002290153
2010-08-01,0.268515340301767,0.237859799840967,0.08688668034580736,0.20833333333333334,0.5092656485905063
2010-09-01,-0.0320081184717491,0.2508487290254546,0.13608877423422205,0.20833333333333334,0.5218509895039755
2010-10-01,-0.1417216357072148,0.3639553876795043,0.15086103293694048,0.21006944444444417,0.35306655012485644
2010-11-01,0.0079054058141458,0.268515340301767,0.1905209846576633,0.21388888888888916,0.27729473312191977
2010-12-01,0.1784658944731898,-0.0320081184717491,0.19511918460464087,0.22187500000000002,0.20608918426649792
2011-01-01,0.3904364301121399,-0.1417216357072148,0.17309021031947827,0.21180555555555583,0.4052409218012696
2011-02-01,0.3823213150009108,0.0079054058141458,0.18308795344205986,0.20798611111111084,0.35369807991946856
2011-03-01,0.7024682757930778,0.1784658944731898,0.17153456518831842,0.20833333333333334,0.31652437305237663
2011-04-01,0.6809130063126112,0.3904364301121399,0.17941123779406468,0.23888888888888915,0.3684785348708354
2011-05-01,-0.0237059392313443,0.3823213150009108,0.18439567338779658,0.24305555555555583,0.41763434112511844
2011-06-01,0.0991430632533596,0.7024682757930778,0.21953368818329042,0.25625000000000003,0.36718737740615415
2011-07-01,0.7929523353527923,0.6809130063126112,0.2741633191812337,0.2652777777777775,0.33986033082873046
2011-08-01,0.2658181967315709,-0.0237059392313443,0.2523661742585411,0.26944444444444415,0.27555451415418053
2011-09-01,0.3341844507243507,0.0991430632533596,0.23972403544419985,0.25416666666666665,0.21426065245904108
2011-10-01,0.3148504754264314,0.7929523353527923,0.2754737810836405,0.24444444444444416,0.24224908374374512
2011-11-01,0.4314230219842896,0.2658181967315709,0.2752490191194575,0.24583333333333335,0.2391017446887614
2011-12-01,0.2709086936856231,0.3341844507243507,0.3057650665524658,0.2354166666666667,0.24542620089471645
2012-01-01,-0.1013216580585396,0.3148504754264314,0.34381274248026966,0.2333333333333333,0.4773390856960248
2012-02-01,0.324908892687481,0.4314230219842896,0.37910587716111493,0.2402777777777775,0.3772045986887284
2012-03-01,0.7660162690275696,0.2709086936856231,0.38680944376215115,0.25,0.35959380995839557
2012-04-01,0.5315401578713574,-0.1013216580585396,0.3458296030812611,0.2350694444444442,0.3609333638407909
2012-05-01,0.0392607750355544,0.324908892687481,0.34104523455514196,0.225,0.33545061761251316
2012-06-01,-0.0366953058830055,0.7660162690275696,0.34634090065801626,0.225,0.34331016510437284
2012-07-01,0.0903588612569006,0.5315401578713574,0.33389316328791185,0.24166666666666667,0.3693339417658619
2012-08-01,0.5084010598412236,0.0392607750355544,0.33914038947682007,0.2527777777777775,0.377892778019415
2012-09-01,0.5427064949835136,-0.0366953058830055,0.327820525382123,0.25,0.3313578621151133
2012-10-01,-0.1633232923999861,0.0903588612569006,0.2692710692074653,0.23819444444444415,0.23220354894334247
2012-11-01,-0.1374686735246655,0.5084010598412236,0.2894863077999364,0.23888888888888915,0.1477916630780499
2012-12-01,0.2587750050351944,0.5427064949835136,0.30686314482153326,0.23750000000000002,0.18028869041889653
2013-01-01,0.1154176756955616,-0.1633232923999861,0.2670153308359985,0.23958333333333334,0.4758029343197651
2013-02-01,-0.08999999999999,-0.1374686735246655,0.21960768954358556,0.22708333333333333,0.38130872310305786
2013-03-01,0.9088260299246363,0.2587750050351944,0.2185965488227165,0.2125,0.24662961918551368
2013-04-01,0.2523864345138626,0.1154176756955616,0.2366581599688916,0.21597222222222248,0.296853691462945
2013-05-01,0.1935855957435395,-0.08999999999999,0.20208241891160236,0.21458333333333335,0.3135570870519225
2013-06-01,0.261797703601152,0.9088260299246363,0.21398323231969127,0.21354166666666666,0.3124998234618076
2013-07-01,0.548478702276034,0.2523864345138626,0.19072042203990003,0.20694444444444415,0.33907434112817014
2013-08-01,0.5429050386318357,0.1935855957435395,0.20358082376556544,0.20659722222222252,0.25374429287442646
2013-09-01,0.1087803759559857,0.261797703601152,0.22845524122257857,0.20833333333333334,0.39918365461423694
2013-10-01,0.0382722950763136,0.548478702276034,0.2666318946408397,0.209375,0.22373044421166527
2013-11-01,-0.2182433044508491,0.5429050386318357,0.269507226206724,0.21527777777777748,0.18126901034911788
2013-12-01,0.16581750067437,0.1087803759559857,0.23334671628776338,0.225,0.14784162448104146
2014-01-01,0.3168465153781996,0.0382722950763136,0.25014634857745505,0.22152777777777752,0.28604366287557703
2014-02-01,0.6008386962438772,-0.2182433044508491,0.2434151293336064,0.2194444444444442,0.2522182946434936
2014-03-01,0.5185588799294205,0.16581750067437,0.23566867063687102,0.225,0.2721841776187813
2014-04-01,0.3932220436982936,0.3168465153781996,0.25245440727709084,0.2201388888888892,0.28310679680881484
2014-05-01,0.2250304907825073,0.6008386962438772,0.31002429863074643,0.21527777777777748,0.24689944668140462
2014-06-01,0.1591775010682861,0.5185588799294205,0.27750203613114516,0.22395833333333334,0.2872485929270592
2014-07-01,0.4333125756200262,0.3932220436982936,0.28923833689651435,0.22916666666666666,0.315328408746054
2014-08-01,-0.0856196342018722,0.2250304907825073,0.2918587448164284,0.23055555555555585,0.3085664953037711
2014-09-01,0.1605025087040079,0.1591775010682861,0.2833070612720228,0.2354166666666667,0.22743914179288255
2014-10-01,0.3788583360211595,0.4333125756200262,0.2737098840506889,0.2329861111111108,0.18515022379087373
2014-11-01,-0.1494606475877735,-0.0856196342018722,0.2213328279812132,0.2402777777777775,0.20594070028080108
2014-12-01,0.2288915780783718,0.1605025087040079,0.2256430057102151,0.22916666666666666,0.14183295034520071
2015-01-01,0.1702956857356996,0.3788583360211595,0.25402517578895223,0.225,0.3455607272293062
2015-02-01,0.3034689302365168,-0.1494606475877735,0.2597570638608752,0.22708333333333333,0.3203827694836565
2015-03-01,0.7646641314040359,0.2288915780783718,0.2650132369778753,0.21666666666666667,0.2578682186843231
2015-04-01,0.3905064914157652,0.1702956857356996,0.25280066784100036,0.20868055555555584,0.23783524783264948
2015-05-01,0.5643654278037591,0.3034689302365168,0.22801985400705363,0.20833333333333334,0.21276490870598222
2015-06-01,0.3323413484737081,0.7646641314040359,0.24852862496327158,0.22604166666666667,0.22026859095328302
2015-07-01,0.4507863889678276,0.3905064914157652,0.24830232893972756,0.23611111111111083,0.2706170248508212
2015-08-01,0.3772261210857053,0.5643654278037591,0.2765802403581652,0.2347222222222225,0.19247649516340323
2015-09-01,0.0275381794493378,0.3323413484737081,0.2910105609752837,0.24166666666666667,0.1658699833695063
2015-10-01,0.1427993843125641,0.4507863889678276,0.2924667120876005,0.2527777777777775,0.17617427237939381
2015-11-01,0.3440717359528555,0.3772261210857053,0.3310371916948986,0.26111111111111085,0.14845470718440898
2015-12-01,0.4457214990616798,0.0275381794493378,0.3199568309236761,0.2791666666666667,0.1364180111348709
2016-01-01,0.3725202111554138,0.1427993843125641,0.3002852516146265,0.2777777777777775,0.3669890030104813
2016-02-01,0.1740912427066865,0.3440717359528555,0.34141295024301227,0.27465277777777747,0.36257435300182916
2016-03-01,0.5981180992129964,0.4457214990616798,0.3594821103249546,0.28750000000000003,0.32378448002023025
2016-04-01,0.0114065609758906,0.3725202111554138,0.37633415410993076,0.28704861111111085,0.2885814108306005
2016-05-01,0.2095637383322079,0.1740912427066865,0.3655526801491116,0.2861111111111108,0.24138779421129408
2016-06-01,0.1395085287376751,0.5981180992129964,0.35167384413319164,0.2791666666666667,0.06012867306157241
2016-07-01,0.0817470419145927,0.0114065609758906,0.3200821832632021,0.27361111111111086,-0.004514247200611193
2016-08-01,0.3582858538218492,0.2095637383322079,0.29051537580723946,0.27013888888888915,0.11106878592855968
2016-09-01,0.2064640923922001,0.1395085287376751,0.27444597416257005,0.2635416666666667,0.08248577268033835
2016-10-01,0.4133545205237787,0.0817470419145927,0.24369269524146717,0.25121527777777747,0.0033598127404148026
